material_id,formation_energy_per_atom,pretty_formula
mp-650518,-2.60924969,Ca4YFe5O13
mp-19514,-2.786983003,Sr2CrO4
mp-559294,-2.271793743,K4WS3O14
mp-619126,-1.723083181,Ba2TlCuHgO5
mp-1201244,-0.884623056,Rb3IrBr6O
mp-646633,-2.444645251,V2Ni(PO5)2
mp-20092,-3.468806558,EuTa2O6
mp-504636,-1.735788241,K2MnO4
mp-1190367,-2.118288305,SrCdAs2O7
mp-15919,-2.38822351,BeAgPO4
mp-19030,-3.248822622,La4V5(Si2O11)2
mp-17113,-2.552354688,Sm2Ru2O7
mp-558830,-1.811958302,ZnTeMoO6
mp-555953,-2.270700685,Na2Cu2Si4H4O13
mp-9754,-1.450112458,Tl2Cr3O12
mp-687234,-2.413703812,P2WO8
mp-656144,-2.499361175,BaEuFe2O5
mp-697492,-1.859556917,BaV2Cu3(HO5)2
mp-18763,-2.952362498,BaNd2NiO5
mp-554918,-3.522757313,BaY6Si3B6(O12F)2
mp-556369,-1.086233508,CdHg2SeO6
mp-556402,-1.127992921,CuAg5As3O11
mp-11613,-2.966558948,Ba2CuSi2O7
mp-18929,-2.698775461,BaV2O6
mp-8074,-2.374504819,TaSnO3
mp-19368,-2.921363828,Sr2V2O7
mp-553913,-2.305034089,Fe2PO5
mp-7112,-1.629728612,Sr2Cu3(SO)2
mp-541323,-2.473827477,Sr2NdGaCu2O7
mp-1201367,-1.907592697,Na5Sc(C2O7)2
mp-2692,-1.506548291,NbO
mp-1200576,-2.21978254,NaSc3P8(H7O12)2
mp-1204107,-3.008887678,Al4Fe2Si5O18
mp-1095420,-1.96638786,ZnMoO4
mp-6569,-1.210903818,K3HgN5O11
mp-1197857,-2.170742811,WO3
mp-2311,-2.293447202,NbO
mp-15144,-1.364325798,ZnAg2GeO4
mp-558673,-1.829644066,Pb3WCl2O5
mp-18849,-2.451213648,Fe2P2O7
mp-540999,-0.256118974,Cs2CuO2
mp-1205238,-2.409713317,Mn2PO5
mp-19053,-2.938442712,LaVO3
mp-1190901,-1.686731886,VZn2IO7
mp-744084,-1.597268002,MnAgH8(OF)4
mp-19468,-2.840476279,YCo(BO2)5
mp-1192739,-2.460053914,Cs2V3O8
mp-1205087,-2.455666751,Sr2Fe2O5
mp-16812,-2.70568832,KVP2O7
mp-561337,-2.241204961,Al2W5O16
mp-1195324,-3.768978465,Pr2TiO5
mp-13664,-3.511312624,Sr2Ta2O7
mp-1202070,-2.388109869,Er2Nb2S7O30
mp-18815,-2.416740802,KVO3
mp-735553,-1.36328387,V3P2H12C3N2O15
mp-1201916,-2.400851179,Y2Te3MoO12
mp-1103950,-2.565182273,Ca2Mn(PO5)2
mp-1190493,-1.036372575,NiH5CN(ClO)2
mp-22796,-2.832167655,EuVO4
mp-1201732,-0.625394232,PrFeH8C6(N3O2)2
mp-1205312,-2.747036237,Ca2MnO4
mp-1178765,-0.525623883,ZnAu2(Cl4O)2
mp-1202439,-1.724183924,K2Cr2AsO10
mp-9765,-2.358391987,Nd2Pt2O7
mp-704626,-1.141278787,FeAg(SeO3)2
mp-560864,-2.592167526,SrZnNi(PO4)2
mp-19196,-2.783303368,La4Co3O10
mp-561158,-2.372921881,Na4Zr(MoO4)4
mp-17664,-2.345252547,LiNi2P3O10
mp-556859,-0.645212252,HgO
mp-645189,-1.652677735,CsKPt6(S3O14)2
mp-562987,-1.789884217,VCuO3
mp-1078227,-1.862269919,BaCoSO
mp-17993,-2.694372549,Ta2Mn4O9
mp-504969,-1.450409215,Ni3(AsO4)2
mp-1020636,-2.404665922,Zn2SiO4
mp-1104197,-2.26300739,BaYbFe4O7
mp-720739,-1.392140133,ZnP2H6O5
mp-1202027,-3.702443992,LaTaO4
mp-667397,-1.053057029,PRu4C15O14F3
mp-1106019,-2.401041058,CaFe(GeO3)2
mp-1204562,-2.277478998,Y2Mo(SeO4)3
mp-1200293,-0.804128165,K4Ag2Sn3S9O2
mp-1201807,-2.763099762,Rb2Ta2P7O24
mp-4156,-3.047851519,Li2ZrO3
mp-19266,-2.71185481,Sr2FeWO6
mp-10344,-3.365046771,Ba2PrNbO6
mp-653267,-0.639813161,Fe6Sn2(CO)23
mp-1194680,-2.538053138,TaTlV2O8
mp-22638,-1.564161689,Ni2GeO4
mp-1190935,-2.410571014,K2CuP2O7
mp-555364,-2.180034771,KVS2O9
mp-10426,-2.703146609,Nb2O5
mp-24706,-2.023677307,Co3AgP3(HO6)2
mp-18373,-1.382471437,ZnSe2O5
mp-19441,-3.174056942,CaCr(Si2O5)2
mp-983589,-1.212060633,Ag2GeO3
mp-29259,-1.41920117,Bi2PdO4
mp-29132,-1.206903762,RuCl2O
mp-21437,-1.755341196,Fe2TeO6
mp-620325,-1.775558924,CoCu2(BO3)2
mp-21317,-3.204795192,BaEr2CoO5
mp-1200500,-2.571170564,Na2ZrSi3O11
mp-619577,-2.654658968,K2V2P4O15
mp-709886,-1.518115931,CuH5Pb4SO11
mp-1204772,-1.623273781,Co2As2O7
mp-22024,-3.184017903,GdVO4
mp-1195138,-2.403915496,SrTiCu4P4O17
mp-560007,-1.642846983,Ba2Cu7(AsO4)6
mp-15002,-2.534188237,Sr2CaIrO6
mp-654359,-2.365538376,BaCu2(PO4)2
mp-581174,-2.343351238,K2V8O21
mp-720417,-1.204898361,CuH10SO9
mp-1194610,-2.346871439,K4Mg(WO4)3
mp-24559,-1.519542754,Rb2CuH4(Cl2O)2
mp-16282,-3.043887568,KNa2Li3Cr2(Si2O5)6
mp-9172,-2.714391581,Li4TiO4
mp-720868,-1.559963353,Ca2CdH24(ClO2)6
mp-559744,-1.481098998,KV(IO4)2
mp-1203024,-2.111085222,Sb2IrC3O3F13
mp-684010,-3.434948311,K8Ti5P2(O4F11)2
mp-645799,-2.444454265,VP2Pb2O9
mp-720876,-1.595733103,Cs2CuH12(SO7)2
mp-1198333,-1.658374325,Na5Cu2H14S4O19
mp-653562,-0.431190173,Ag3I(NO3)2
mp-553997,-2.518328041,Na2Mn(PO3)5
mp-707821,-0.681341679,Ru3C10I2O9
mp-3151,-2.858757229,Li3TaO4
mp-19353,-2.999792182,PrCrO3
mp-683668,-0.798929446,Mn2InC10BrO10
mp-1202574,-1.801703065,AgS2(O3F)2
mp-7461,-1.450697536,Hg2SO4
mp-1188169,-1.936268377,LiFe(GeO3)2
mp-505785,-1.469667241,CuP(HO)5
mp-22198,-2.627585036,Nb2NiO6
mp-554363,-3.499623662,Pr2Ti3(ClO4)2
mp-22518,-2.507050821,YbMnO3
mp-22571,-2.688852668,BaNdMn2O6
mp-720808,-0.883252512,H2Ru6(CO)17
mp-550893,-3.941274654,HfO2
mp-31901,-2.554234255,Mn4Nb2O9
mp-554748,-1.656791268,V2Cu3O8
mp-1195464,-0.688556325,Ag3RuO4
mp-19193,-2.168829201,CaFe3O5
mp-19134,-2.88347165,CaCrP2O7
mp-7251,-3.458157678,Ba2YNbO6
mp-4359,-2.403355735,Sr2PdO3
mp-19477,-3.036505904,Mn2Al4Si5O18
mp-600234,-0.633302386,CoH32C8S4(NO5)2
mp-29698,-2.914744421,Nb3ClO7
mp-561081,-0.74772135,CuH10C2(NO)8
mp-3120,-2.639467736,Tm2Cu2O5
mp-505076,-1.930216742,GaNi2BO5
mp-13695,-2.650659039,SmCuO2
mp-696457,-2.337705298,ScP3(HO2)6
mp-28337,-2.153717193,V4As2O13
mp-556208,-1.30657416,WCl3O
mp-558763,-0.924857211,Ag2Hg(SeO3)2
mp-1180482,-2.399573369,LiYb(WO4)2
mp-752913,-2.626681082,Li2FeSiO4
mp-554929,-3.195457332,CsNdNb2O7
mp-1196928,-2.273327755,MgZrP2(H2O3)4
mp-1192057,-1.537965565,Ag2S2O7
mp-6217,-3.481213152,LaSc3(BO3)4
mp-554483,-1.493321276,KCd3H8Cl7O4
mp-1201514,-1.532848932,K2RuO5
mp-554164,-2.624071919,KLiZnP2O7
mp-9413,-3.408388411,Ca2TiSiO6
mp-24004,-2.141740462,Zn2PHO5
mp-1079169,-2.702385373,Ba2NdIrO6
mp-551702,-2.477151235,Ba2CdReO6
mp-22557,-2.082700515,Ba5Co5O14
mp-554747,-2.865865405,Li5La3Nb2O12
mp-1205183,-2.637444334,KFe2P3(O4F3)2
mp-559772,-1.062170999,CrHg3O5
mp-1205131,-2.899762584,K2Na2Eu4Nb2O13
